maand1,multi,webwinkels,jaar1,dhomzetcbs,dhomzetofflinecbs,omzetwebwinkelscbs,dhaandeelofflinecbs,webwinkelsaandeelcbs,foodcbs,nonfoodcbs,jaar2,totaalomzettmm1,omzetprodtmm,omzetdiensttmm,jaar3,dhopmarcbs,webwopmarcbs,jaar4,totaalomzettmm2,besteltmm,bedrbesttmm,bestperkopertmm,bedrperkoper,kopers
2014 januari,0.17,0.038,2011,104.3,100.5,3.8,0.96,0.04,39.5,64.8,2014,13.96,7.02,6.94,2011,0.055,0.068,2009**,7.4,53.0,139.62,6.1,737.00,8.7
2014 februari,0.17,0.04,2012,105.5,101.2,4.3,0.96,0.04,41.9,63.6,2015,16.09,8.41,7.68,2012,0.05,0.041,2010**,8.2,69.0,118.84,7.4,888.00,9.3
2014 maart,0.165,0.091,2013,102.8,98.0,4.8,0.95,0.05,41.2,61.6,2016,20.16,11.01,9.15,2013,0.046,0.06,2011**,9.0,78.0,115.38,7.7,885.00,10.2
2014 april,0.323,0.13,2014,104.0,98.5,5.5,0.95,0.05,41.9,62.1,2017,22.5,12.74,9.77,2014,0.046,0.059,2012**,9.8,88.0,111.36,8.3,922.00,10.6
2014 mei,0.19,0.059,2015,107.1,100.3,6.8,0.94,0.06,42.3,64.8,2018*,25.0,15.0,10.0,2015,0.048,0.041,2013**,10.6,97.5,108.72,8.9,966.14,11.0
2014 juni,0.154,0.086,2016,109.7,102.0,7.7,0.93,0.07,43.4,66.3,,,,,2016,0.057,0.045,2014**,13.96,122.7,113.77,11.9,1355.34,10.3
2014 juli,0.209,0.027,2017*,114.3,105.2,9.1,0.92,0.08,44.8,68.6,,,,,,,,2015**,16.09,143.3,112.28,13.4,1503.74,10.7
2014 augustus,0.25,0.078,,,,,,,,,,,,,,,,2016,20.16,173.6,116.13,13.1,1521.51,13.3
2014 september,0.057,0.042,,,,,,,,,,,,,,,,2017,22.51,201.7,111.61,15.2,1692.48,13.3
2014 oktober,0.143,0.088,,,,,,,,,,,,,,,,,,,,,,
2014 november,0.121,0.118,,,,,,,,,,,,,,,,,,,,,,
2014 december,0.259,0.184,,,,,,,,,,,,,,,,,,,,,,
2015 januari,0.258,0.132,,,,,,,,,,,,,,,,,,,,,,
2015 februari,0.219,0.13,,,,,,,,,,,,,,,,,,,,,,
2015 maart,0.208,0.181,,,,,,,,,,,,,,,,,,,,,,
2015 april,0.154,0.189,,,,,,,,,,,,,,,,,,,,,,
2015 mei,0.133,0.127,,,,,,,,,,,,,,,,,,,,,,
2015 juni,0.335,0.25,,,,,,,,,,,,,,,,,,,,,,
2015 juli,0.238,0.255,,,,,,,,,,,,,,,,,,,,,,
2015 augustus,0.187,0.227,,,,,,,,,,,,,,,,,,,,,,
2015 september,0.265,0.297,,,,,,,,,,,,,,,,,,,,,,
2015 oktober,0.259,0.224,,,,,,,,,,,,,,,,,,,,,,
2015 november,0.226,0.292,,,,,,,,,,,,,,,,,,,,,,
2015 december,0.17,0.297,,,,,,,,,,,,,,,,,,,,,,
2016 januari,0.157,0.295,,,,,,,,,,,,,,,,,,,,,,
2016 februari,0.215,0.282,,,,,,,,,,,,,,,,,,,,,,
2016 maart,0.138,0.28,,,,,,,,,,,,,,,,,,,,,,
2016 april,0.095,0.208,,,,,,,,,,,,,,,,,,,,,,
2016 mei,0.28,0.27,,,,,,,,,,,,,,,,,,,,,,
2016 juni,0.142,0.24,,,,,,,,,,,,,,,,,,,,,,
2016 juli,0.118,0.187,,,,,,,,,,,,,,,,,,,,,,
2016 augustus,0.127,0.232,,,,,,,,,,,,,,,,,,,,,,
2016 september,0.089,0.151,,,,,,,,,,,,,,,,,,,,,,
2016 oktober,0.171,0.231,,,,,,,,,,,,,,,,,,,,,,
2016 november,0.288,0.253,,,,,,,,,,,,,,,,,,,,,,
2016 december,0.155,0.122,,,,,,,,,,,,,,,,,,,,,,
2017 januari,0.222,0.154,,,,,,,,,,,,,,,,,,,,,,
2017 februari,0.12,0.181,,,,,,,,,,,,,,,,,,,,,,
2017 maart,0.174,0.127,,,,,,,,,,,,,,,,,,,,,,
2017 april,0.262,0.143,,,,,,,,,,,,,,,,,,,,,,
2017 mei,0.261,0.235,,,,,,,,,,,,,,,,,,,,,,
2017 juni,0.246,0.154,,,,,,,,,,,,,,,,,,,,,,
2017 juli,0.22,0.207,,,,,,,,,,,,,,,,,,,,,,
2017 augustus,0.19,0.179,,,,,,,,,,,,,,,,,,,,,,
2017 september,0.309,0.199,,,,,,,,,,,,,,,,,,,,,,
2017 oktober,0.109,0.196,,,,,,,,,,,,,,,,,,,,,,
2017 november,0.238,0.222,,,,,,,,,,,,,,,,,,,,,,
2017 december,0.289,0.213,,,,,,,,,,,,,,,,,,,,,,
2018  januari*,0.261,0.223,,,,,,,,,,,,,,,,,,,,,,
2018 februari*,0.215,0.158,,,,,,,,,,,,,,,,,,,,,,
2018 maart*,0.297,0.197,,,,,,,,,,,,,,,,,,,,,,
2018 april*,0.331,0.174,,,,,,,,,,,,,,,,,,,,,,
2018 mei*,0.2,0.107,,,,,,,,,,,,,,,,,,,,,,
2018 juni*,0.253,0.147,,,,,,,,,,,,,,,,,,,,,,
